Id,Complete Name,Department,Employement Status,Location,% terminated,Age,Birthdate,Gender,Hire Date,Jobtitle,Location City,Location State,Termdate
00-0037846,Kimmy Walczynski,Engineering,Active,Remote,0,42,3/26/1980,Male,18-03-2020,Budget/Accounting Analyst IV,Chicago,Illinois,30-09-2033
00-0041533,Ignatius Springett,Business Development,Active,HQ,0,29,08-10-1993,Male,21-09-2011,Business Systems Development Analyst,Cleveland,Ohio,30-09-2031
00-0045747,Corbie Bittlestone,Sales,Active,Remote,0,42,03-05-1980,Female,01-09-2020,Accountant IV,Crawfordsville,Indiana,30-09-2030
00-0055274,Baxy Matton,Services,Active,Remote,0,24,9/22/1998,Female,08-08-2020,Business Analyst,Philadelphia,Pennsylvania,30-09-2029
00-0076100,Terrell Suff,Product Management,Active,HQ,0,23,4/13/1999,Male,09-09-2012,Business Analyst,Cleveland,Ohio,30-09-2029
00-0116166,Kacie Offiler,Engineering,Active,HQ,0,20,09-04-2002,Female,27-01-2012,Staff Accountant I,Cleveland,Ohio,30-09-2027
00-0363185,Sandro Admans,Product Management,Active,HQ,0,26,07-08-1996,Male,24-01-2020,Cost Accountant,Cleveland,Ohio,30-09-2026
00-0380704,Eugene Lehrahan,Engineering,Active,HQ,0,46,04-06-1976,Male,12-04-2006,Human Resources Analyst,Cleveland,Ohio,30-09-2025
00-0381660,Wainwright Corfield,Engineering,Terminated,HQ,0,36,7/16/1986,Female,05-04-2009,Software Engineer I,Cleveland,Ohio,30-09-2022
00-0419202,Dyann Isoldi,Engineering,Active,HQ,1,27,03-01-1995,Female,26-01-2013,Junior Trainer,Cleveland,Ohio,30-09-2021
00-0472287,Grantley Oret,Services,Active,HQ,1,20,08-07-2002,Male,11-06-2007,Software Consultant,Cleveland,Ohio,30-09-2021
00-0472832,Elmore Worner,Engineering,Active,HQ,1,33,2/19/1989,Female,29-07-2013,Senior Recruiter,Cleveland,Ohio,30-09-2021
00-0566380,Dud Brain,Business Development,Active,HQ,1,46,10/29/1976,Female,23-03-2004,Research Assistant I,Cleveland,Ohio,30-09-2019
00-0571075,Aguie Conford,Business Development,Active,HQ,1,51,1/14/1971,Male,08-09-2011,Research Associate,Cleveland,Ohio,30-09-2018
